,0,1
435,31e avenue,de Bellechasse
436,Gauthier , Parthenais
437,McLynn , Plamondon
438,1ère avenue , Rosemont
439,Rousselot , Jarry
440,St-Jean-Baptiste,Notre-Dame
441,St-Zotique,40e avenue
442,Dubois , Eadie
443,6e Avenue , Bélanger
444,Louis-Hébert , de Bellechasse
445,Leman , de Chateaubriand
446,Dollard,Ducharme
447,5e avenue , Masson
448,Willibrord,de Verdun
449,Notre-Dame-de-Grâce , Westmount
450,Grenet , Poirier
451,Goncourt,Place Montrichard
452,de Kent,Hudson
453,de la Côte Ste-Catherine,Hudson
454,Metcalfe , du Square-Dorchester
455,Mozart , Waverly
456,7e avenue , Jean-Rivard
457,Argyle , de Verdun
458,Duvernay , Charlevoix
459,Union , René-Lévesque
460,O'Brien , Poirier
461,Davaar , de la Côte-Ste-Catherine
462,St-Ambroise , Louis-Cyr
463,Rielle , Wellington
464,St-Urbain , de la Gauchetière
465,Chabot , de Bellechasse
466,de Grosbois , Duchesneau
467,8e avenue , Everett
468,Letourneux , Ste-Catherine
469,Elgar , de l'Île-des-Sœurs
470,Du Quesne , de Marseille
471,Jean Langlois , Fullum
472,Rockland,Lajoie
473,Grand Boulevard , de Terrebonne
474,des Érables,Boyer
475,Hélène-Baillargeon , St-Denis
476,Laird , Glencoe
477,de la Côte St-Antoine , Royal
478,des Carrières , Marquette
479,Egan , Laurendeau
480,Stuart,St-Viateur
481,St-Charles , Thomas-Keefer
482,Place d'Antioche,St-Zotique
483,26e avenue , Beaubien
484,Legendre,Henri-Julien
485,Gloria , Dollard
486,Pie-IX,Sherbrooke
487,St-Joseph,34e avenue
488,35e avenue , Beaubien
489,Keller , Cousineau
490,Clark , Fleury
491,St-Germain , Hochelaga
492,McKenna , Édouard-Montpetit
493,Ontario , Sicard
494,Robin , 15e rue
495,Park Row O , Sherbrooke
496,Louisbourg , O'Brien
497,LaSalle , 90e avenue
498,de l'Aréna,Chenier
499,LaSalle,Rolland
500,McCulloch , de la Côte Ste-Catherine
501,de Belleville,Fleury
502,Cordner,Léger
503,Basile-Routhier , Chabanel
504,Henri-Julien , de Bellechasse
505,Lamont,des Trinitaires
506,du Canal , McLaughlin
507,de Côme , Jean-Talon
508,29e avenue , St-Zotique
509,Gouin,Henri-d'Arles
510,du Tricentenaire,de Montigny
511,d'Orléans , Masson
512,Lapierre,
513,Ste-Claire , Pierre-Tétreault
514,7e avenue , St-Joseph Rosemont
515,Casino de Montréal,
516,Le Corbusier , St-Martin O
517,Sherbrooke,des Groseilliers
518,Bourget , St-Jacques
519,Bel Air , St-Antoine
520,Bloomfied , Elmwood
521,Francis , Fleury
522,Lacordaire,des Galets
523,Champdoré , de Lorimier
524,Irwin , Allard
525,Chemin du Chenal le Moyne,
526,Beurling , Godin
527,Parc de Dieppe,
528,de Maisonneuve , Mackay
529,du Mont-Royal , de Brébeuf
